X,Y,Z,Label
17.0,8.0,1001.808,XS
17.0,9.0,1001.787,XS
17.0,10.0,1001.765,XS
17.0,11.0,1001.745,XS
17.0,12.0,1001.738,XS
17.0,13.0,1001.731,XS
17.0,14.0,1001.727,XS
17.0,15.0,1001.748,XS
17.0,16.0,1001.989,XS
17.0,17.0,1002.23,XS
17.0,-13.0,1002.26,XS
17.0,-12.0,1002.217,XS
17.0,-11.0,1002.19,XS
17.0,-10.0,1002.176,XS
17.0,-9.0,1002.162,XS
17.0,-8.0,1002.135,XS
17.0,-7.0,1002.107,XS
17.0,-6.0,1002.096,XS
17.0,-5.0,1002.079,XS
17.0,-4.0,1002.041,XS
17.0,-3.0,1002.028,XS
17.0,-2.0,1002.014,XS
17.0,-1.0,1001.987,XS
18.0,0.0,1001.943,XS
18.0,1.0,1001.918,XS
18.0,2.0,1001.916,XS
18.0,3.0,1001.889,XS
18.0,4.0,1001.876,XS
18.0,5.0,1001.863,XS
18.0,6.0,1001.837,XS
18.0,7.0,1001.811,XS
18.0,8.0,1001.791,XS
18.0,9.0,1001.771,XS
18.0,10.0,1001.732,XS
18.0,11.0,1001.712,XS
18.0,12.0,1001.705,XS
18.0,13.0,1001.697,XS
18.0,14.0,1001.693,XS
18.0,15.0,1001.715,XS
18.0,16.0,1001.667,XS
18.0,17.0,1002.215,XS
18.0,-13.0,1002.245,XS
18.0,-12.0,1002.203,XS
18.0,-11.0,1002.19,XS
18.0,-10.0,1002.176,XS
18.0,-9.0,1002.15,XS
18.0,-8.0,1002.123,XS
18.0,-7.0,1002.109,XS
18.0,-6.0,1002.096,XS
18.0,-5.0,1002.068,XS
18.0,-4.0,1002.025,XS
18.0,-3.0,1002.012,XS
18.0,-2.0,1001.998,XS
18.0,-1.0,1001.971,XS
19.0,0.0,1001.932,XS
19.0,1.0,1001.918,XS
19.0,2.0,1001.89,XS
19.0,3.0,1001.862,XS
19.0,4.0,1001.848,XS
19.0,5.0,1001.834,XS
19.0,6.0,1001.807,XS
19.0,7.0,1001.781,XS
19.0,8.0,1001.768,XS
19.0,9.0,1001.756,XS
19.0,10.0,1001.685,XS
19.0,11.0,1001.664,XS
19.0,12.0,1001.6,XS
19.0,13.0,1001.648,XS
19.0,14.0,1001.643,XS
19.0,15.0,1001.655,XS
19.0,16.0,1001.667,XS
19.0,17.0,1002.2,XS
19.0,-13.0,1002.23,XS
19.0,-12.0,1002.188,XS
19.0,-11.0,1002.175,XS
19.0,-10.0,1002.161,XS
19.0,-9.0,1002.134,XS
19.0,-8.0,1002.107,XS
19.0,-7.0,1002.093,XS
19.0,-6.0,1002.08,XS
19.0,-5.0,1002.053,XS
19.0,-4.0,1002.003,XS
19.0,-3.0,1001.974,XS
19.0,-2.0,1001.975,XS
19.0,-1.0,1001.946,XS
20.0,0.0,1001.898,XS
20.0,1.0,1001.883,XS
20.0,2.0,1001.853,XS
20.0,3.0,1001.823,XS
20.0,4.0,1001.809,XS
20.0,5.0,1001.794,XS
20.0,6.0,1001.765,XS
20.0,7.0,1001.737,XS
20.0,8.0,1001.723,XS
20.0,9.0,1001.71,XS
20.0,10.0,1001.623,XS
20.0,11.0,1001.611,XS
20.0,12.0,1001.6,XS
20.0,13.0,1001.582,XS
20.0,14.0,1001.577,XS
20.0,15.0,1001.59,XS
20.0,16.0,1001.603,XS
20.0,17.0,1002.185,XS
